domain,column_name,business_name,description,semantic_role,data_type,unit,aggregation,sensitive,allowed_values
logistics,Order Date,Order Date,,date,date,,,false,
logistics,Sales,Sales,,revenue,number,USD,sum,false,
logistics,Cost,Cost,,cost,number,USD,sum,false,
logistics,Gross Profit,Gross Profit,,profit,number,USD,sum,false,
logistics,Units,Units,,quantity,number,,sum,false,
logistics,Division,Division,,category,string,,,false,
logistics,State/Province,State/Province,,state,string,,,false,
logistics,City,City,,city,string,,,false,
